cve_id,description,source,is_cellular_related,detailed_description
CVE-2021-0622,"catel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this proces",https://www.chipsets.org/devices/11,True,"In asf extractor, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05489178; Issue ID: ALPS05561388."
CVE-2021-0623,".)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable informa",https://www.chipsets.org/devices/11,True,"In asf extractor, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05489178; Issue ID: ALPS05585817."
CVE-2021-0624,"ide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a p",https://www.chipsets.org/devices/11,True,"In flv extractor, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05594988; Issue ID: ALPS05594988."
CVE-2021-0672,"ponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or dev",https://www.chipsets.org/devices/11,True,"In Browser app, there is a possible information disclosure due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android SoCAndroid ID: A-199678035"
CVE-2021-0674,"facturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or device to verify your individual exposure in",https://www.chipsets.org/devices/11,True,"In alac decoder, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06064258; Issue ID: ALPS06064237."
CVE-2021-0675,"EDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or device to verify your individual exposure in cases where inaccuracies are inaccepta",https://www.chipsets.org/devices/11,True,"In alac decoder, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06064258; Issue ID: ALPS06064258."
CVE-2021-22495,"rabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or device to verify your individual exposure in cases wher",https://www.chipsets.org/devices/898,True,"An issue was discovered on Samsung mobile devices with O(8.x), P(9.0), Q(10.0), and R(11.0) (Exynos chipsets) software. The Mali GPU driver allows out-of-bounds access and a device reset. The Samsung ID is SVE-2020-19174 (January 2021)."
CVE-2021-25477,"UMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or device to verify your individual exposure in cases where inaccuracies are inacceptable, for instance to assess risks if you ar",https://www.chipsets.org/devices/11,True,An improper error handling in Mediatek RRC Protocol stack prior to SMR Oct-2021 Release 1 allows modem crash and remote denial of service.
CVE-2021-31889,| Chipsets.orgChipsets.orgDevices Chipsets Vulnerabilities DeviceCubot Note 30OverviewRelease Date (est.)Jan 2022ChipsetMT6765VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022CVE-2021-31889HIGHCELLULARFIRMWAREN/AJan 2022Jan 2022CVE-2021-40148HIGHCELLULARFIRMWAREN/AJan 2022Jan 2022CVE-2022-20012MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20015MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20017MEDIUMMEMORY_MANAGEMENTOSN/AFeb 2022N/ACVE-2022-20018MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20019MEDIUMN/AN/AN/AJan 2022N/ACVE-2022-20023MEDIUMBLUETOOTHN/AN/AJan 2022N/ACVE-2022-20024HIGHN/AN/AN/AFeb 2022Feb 2022356 of 417 row(s) shown.Rows per pagePage 1 of 36Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtaine,https://www.chipsets.org/devices/326,True,"A vulnerability has been identified in Capital Embedded AR Classic 431-422 (All versions), Capital Embedded AR Classic R20-11 (All versions < V2303), PLUSCONTROL 1st Gen (All versions), SIMOTICS CONNECT 400 (All versions < V0.5.0.0). Malformed TCP packets with a corrupted SACK option leads to Information Leaks and Denial-of-Service conditions. (FSMD-2021-0015)"
CVE-2021-40148,"ities DeviceCubot Note 30OverviewRelease Date (est.)Jan 2022ChipsetMT6765VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022CVE-2021-31889HIGHCELLULARFIRMWAREN/AJan 2022Jan 2022CVE-2021-40148HIGHCELLULARFIRMWAREN/AJan 2022Jan 2022CVE-2022-20012MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20015MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20017MEDIUMMEMORY_MANAGEMENTOSN/AFeb 2022N/ACVE-2022-20018MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20019MEDIUMN/AN/AN/AJan 2022N/ACVE-2022-20023MEDIUMBLUETOOTHN/AN/AJan 2022N/ACVE-2022-20024HIGHN/AN/AN/AFeb 2022Feb 2022356 of 417 row(s) shown.Rows per pagePage 1 of 36Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistenc",https://www.chipsets.org/devices/326,True,"In Modem EMM, there is a possible information disclosure due to a missing data encryption. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY00716585; Issue ID: ALPS05886933."
CVE-2022-20012,"an 2022ChipsetMT6765VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022CVE-2021-31889HIGHCELLULARFIRMWAREN/AJan 2022Jan 2022CVE-2021-40148HIGHCELLULARFIRMWAREN/AJan 2022Jan 2022CVE-2022-20012MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20015MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20017MEDIUMMEMORY_MANAGEMENTOSN/AFeb 2022N/ACVE-2022-20018MEDIUMN/AOSN/AJan 2022N/ACVE-2022-20019MEDIUMN/AN/AN/AJan 2022N/ACVE-2022-20023MEDIUMBLUETOOTHN/AN/AJan 2022N/ACVE-2022-20024HIGHN/AN/AN/AFeb 2022Feb 2022356 of 417 row(s) shown.Rows per pagePage 1 of 36Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this ",https://www.chipsets.org/devices/326,True,"In mdp driver, there is a possible memory corruption due to an integer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05836478; Issue ID: ALPS05836478."
